categorie,titel,stad,land,bod_eur,allin_eur,sluit_utc,url
Transport en logistiek,"EP - EST 3,0 meter Stapelaar - ingebouwde lader - 1500 kg - 2026",Wijchen,NL,370.00,440.30,2026-08-25 12:12,https://www.troostwijkauctions.com/l/ep-est-3-0-meter-stapelaar-ingebouwde-lader-1500-kg-2026-A1-40296-83
Transport en logistiek,"EP - EPL 185 - Elektrische palletwagen, LI-ION accu pakket , interne lader ingebouwd",Wijchen,NL,390.00,464.10,2026-08-25 12:19,https://www.troostwijkauctions.com/l/ep-epl-185-elektrische-palletwagen-li-ion-accu-pakket-interne-lader-ingebouwd-A1-40296-131
Transport en logistiek,Magazijnstelling,Wijchen,NL,250.00,297.50,2026-08-25 12:23,https://www.troostwijkauctions.com/l/magazijnstelling-A1-40296-25
Transport en logistiek,Legbordstelling,Milsbeek,NL,350.00,416.50,2026-08-25 12:23,https://www.troostwijkauctions.com/l/legbordstelling-A1-41672-228
Transport en logistiek,Werkplatform,Hechtel-Eksel,BE,25.00,29.75,2026-08-25 12:25,https://www.troostwijkauctions.com/l/werkplatform-A1-49156-107
Transport en logistiek,Kettingtakel,Hechtel-Eksel,BE,25.00,29.75,2026-08-25 12:29,https://www.troostwijkauctions.com/l/kettingtakel-A1-49156-49
Transport en logistiek,EP - F3  Elektrische palletwagen incl. acculader - 1500 kg hefvermogen,Wijchen,NL,120.00,142.80,2026-08-25 12:30,https://www.troostwijkauctions.com/l/ep-f3-elektrische-palletwagen-incl-acculader-1500-kg-hefvermogen-A1-40296-91
Transport en logistiek,EP - ESL 3.0 meter - Stapelaar - Li-ion batterij - 2026 - 1500kg,Wijchen,NL,330.00,392.70,2026-08-25 12:36,https://www.troostwijkauctions.com/l/ep-esl-3-0-meter-stapelaar-li-ion-batterij-2026-1500kg-A1-40296-135
Transport en logistiek,Bordes,Hechtel-Eksel,BE,15.00,17.85,2026-08-25 12:39,https://www.troostwijkauctions.com/l/bordes-A1-49156-81
Transport en logistiek,Safety Solutions Stellingbeveiliging,Hechtel-Eksel,BE,25.00,29.75,2026-08-25 12:43,https://www.troostwijkauctions.com/l/safety-solutions-stellingbeveiliging-A1-49156-141
Transport en logistiek,EP - EST 2.7 - Stapelaar - Interne acculader - 2026,Wijchen,NL,330.00,392.70,2026-08-25 12:47,https://www.troostwijkauctions.com/l/ep-est-2-7-stapelaar-interne-acculader-2026-A1-40296-98
Transport en logistiek,B.C.W. V4/10/20/G Aanhangwagen,Hechtel-Eksel,BE,170.00,202.30,2026-08-25 12:53,https://www.troostwijkauctions.com/l/b-c-w-v4-10-20-g-aanhangwagen-A1-49156-153
Transport en logistiek,2016 Hyster S1.5S SL Stapelaar (62016-30),Wilrijk,BE,60.00,71.40,2026-08-25 13:01,https://www.troostwijkauctions.com/l/2016-hyster-s1-5s-sl-stapelaar-%2862016-30%29-A1-49133-969
Transport en logistiek,HOFFMANN Fördertechnik GmbH Wurzen Kettingtakel,Hechtel-Eksel,BE,45.00,53.55,2026-08-25 13:01,https://www.troostwijkauctions.com/l/hoffmann-fordertechnik-gmbh-wurzen-kettingtakel-A1-49156-17
Transport en logistiek,Mobiel Werkplatform,Hechtel-Eksel,BE,290.00,345.10,2026-08-25 13:01,https://www.troostwijkauctions.com/l/mobiel-werkplatform-A1-49156-144
Transport en logistiek,1996 Rocla PEP 14 S1500 Stapelaar (18148),Wilrijk,BE,200.00,238.00,2026-08-25 13:04,https://www.troostwijkauctions.com/l/1996-rocla-pep-14-s1500-stapelaar-%2818148%29-A1-49133-966
Transport en logistiek,2016 Hyster S1.5S SL Stapelaar (62016-29),Wilrijk,BE,70.00,83.30,2026-08-25 13:04,https://www.troostwijkauctions.com/l/2016-hyster-s1-5s-sl-stapelaar-%2862016-29%29-A1-49133-968
Transport en logistiek,B.C.W. T2000 Aanhangwagen,Hechtel-Eksel,BE,165.00,196.35,2026-08-25 13:05,https://www.troostwijkauctions.com/l/b-c-w-t2000-aanhangwagen-A1-49156-152
Transport en logistiek,JD - HPT 2500 - Hand hydraulische palletwagen - 2500kg,Wijchen,NL,70.00,83.30,2026-08-25 13:07,https://www.troostwijkauctions.com/l/jd-hpt-2500-hand-hydraulische-palletwagen-2500kg-A1-40296-112
Transport en logistiek,Partij vloerroosters,Hechtel-Eksel,BE,170.00,202.30,2026-08-25 13:19,https://www.troostwijkauctions.com/l/partij-vloerroosters-A1-49156-145
Transport en logistiek,2017 Jungheinrich ERE225 Orderpicker (61025-220),Wilrijk,BE,60.00,71.40,2026-08-25 13:28,https://www.troostwijkauctions.com/l/2017-jungheinrich-ere225-orderpicker-%2861025-220%29-A1-49133-970
Transport en logistiek,Rails Transportkar (4x),Beringe,NL,200.00,238.00,2026-08-25 17:01,https://www.troostwijkauctions.com/l/rails-transportkar-%284x%29-A1-48826-60
